,s.game,,,,,,,,playing,Views,followers,,,,,,,,
31238485120,,7,720,59.949623,0,2018-11-14T16:59:45Z,zualkigen,zualkigen,IRL,3201,104,[GER] #botLarry !musik,de,de,,2016-02-23T15:28:05Z,2018-11-14T21:51:41Z,TRUE,FALSE
31241692416,,6,720,30,0,2018-11-14T21:39:08Z,emeiri,emeiri,Creative,66,10,bored coloring + talking,en,en,,2015-12-03T06:01:59Z,2018-11-14T22:06:29Z,FALSE,FALSE
31241504256,,6,768,29,0,2018-11-14T21:22:08Z,Tok1ra,tok1ra,Creative,818,70,PreparÌÁndome para el Gfe (Las mejores isla tuki tuki),es,es,,2017-05-12T04:27:57Z,2018-11-14T22:03:45Z,FALSE,FALSE
31240246112,League of Legends,6,720,30,0,2018-11-14T19:32:59Z,fallenengel1989,fallenengel1989,Dead by Daylight,18741,876,abschlachten lassen,de,de,,2016-02-28T13:30:42Z,2018-11-14T22:07:47Z,TRUE,FALSE
31242048080,Hearthstone,5,864,20,0,2018-11-14T22:11:23Z,sydn3j,sydn3j,Overwatch,276,19,Spontaner Hearthstone/Overwatch-Stream!,de,de,,2018-07-28T14:15:35Z,2018-11-14T22:11:51Z,FALSE,FALSE
31241853520,league of legends,5,768,30,0,2018-11-14T21:54:08Z,proteindozuu,proteindozuu,Counter-Strike: Global Offensive,295,18,solo aram,tr,tr,,2018-11-11T19:46:13Z,2018-11-14T22:19:00Z,FALSE,FALSE
31241599600,,5,720,60,0,2018-11-14T21:30:59Z,Laychu,laychu,Creative,5654,139,League not working ffs waiting game,en,en,,2013-06-08T18:59:40Z,2018-11-14T22:05:15Z,TRUE,FALSE
31241342096,,5,648,60,0,2018-11-14T21:07:18Z,Corbett_Streams,corbett_streams,IRL,462,11,CLEANING MY ROOM BOIS,en,en,,2012-01-12T19:02:05Z,2018-11-14T21:34:18Z,FALSE,FALSE
31241308384,Twisted Metal: Black,5,768,60,0,2018-11-14T21:04:13Z,LiL_Tankk,lil_tankk,Retro,2626,138,Tons of games n fun,en,en,,2011-02-22T04:07:36Z,2018-11-14T22:19:16Z,TRUE,FALSE
31241262688,,5,1080,30,0,2018-11-14T21:00:27Z,Dr_Dubz,dr_dubz,Creative,1685,95,"Some Draw-fu for you, ninja november, 25% off ninja comms",en,en,,2012-12-17T01:00:05Z,2018-11-14T21:35:31Z,TRUE,FALSE
31241005712,,5,1080,30,0,2018-11-14T20:37:46Z,artblock02,artblock02,Creative,837,72,Working on project and doodles,en,en,,2015-11-19T08:34:59Z,2018-11-14T22:04:29Z,FALSE,FALSE
31240624704,Fallout 76,5,720,30,0,2018-11-14T20:04:52Z,ItsMjatt,itsmjatt,League of Legends,1170,64,fallout broke,en,en,,2015-04-01T23:49:42Z,2018-11-14T22:18:14Z,FALSE,FALSE
31240594576,Garry's Mod,5,720,30,0,2018-11-14T20:02:36Z,DrWorming,drworming,Counter-Strike: Global Offensive,8847,733,[FR] Et un peu de CS pour la forme,fr,fr,,2014-05-02T14:01:59Z,2018-11-14T22:18:32Z,TRUE,FALSE
31240448704,,5,720,30,0,2018-11-14T19:50:58Z,wanderingreb,wanderingreb,Creative,194,32,Trying out eevee in Blender 2.8!!,en,en,,2017-04-15T03:31:50Z,2018-11-14T22:07:29Z,FALSE,FALSE
31239446352,Art,5,720,60,0,2018-11-14T18:25:15Z,Olliethefirst,olliethefirst,Call of Duty: Black Ops 4,1915,46,What is life (46/50 followers!),en,en-gb,,2012-11-29T18:14:58Z,2018-11-14T22:15:41Z,FALSE,FALSE
31239202928,Beyond: Two Souls,5,720,60,0,2018-11-14T18:04:03Z,GabrieruAuditore,gabrieruauditore,Assassin's Creed: Brotherhood,7173,207,Ezio cerca casa!!!,it,it,,2012-10-12T18:48:17Z,2018-11-14T22:04:00Z,FALSE,FALSE
31238710688,Call of Duty: Black Ops 4,5,720,30,0,2018-11-14T17:19:53Z,madball_8,madball_8,The Forest,6662,1557,Vegane Kampfkunstimitate ... MGS GER PS4 ÌÏ18,de,de,,2016-08-10T15:13:14Z,2018-11-14T22:07:21Z,TRUE,FALSE
31240448704,,5,720,30,0,2018-11-14T19:50:58Z,wanderingreb,wanderingreb,Creative,194,32,Trying out eevee in Blender 2.8!!,en,en,,2017-04-15T03:31:50Z,2018-11-14T22:07:29Z,FALSE,FALSE
31240448704,,4,720,30,0,2018-11-14T19:50:58Z,wanderingreb,wanderingreb,Creative,194,32,Trying out eevee in Blender 2.8!!,en,en,,2017-04-15T03:31:50Z,2018-11-14T22:07:29Z,FALSE,FALSE
31242005232,,4,960,30,0,2018-11-14T22:07:33Z,stl_StyloRen,stl_styloren,creative,2342,184,Pre ARMS STRIKE LEAGUE TOP 4 thoughts!!!,en,en,,2016-09-23T00:27:27Z,2018-11-14T22:02:07Z,FALSE,FALSE
31241900496,League of Legends,4,1080,60,0,2018-11-14T21:58:28Z,Farciks,farciks,Just Chatting,437,23,Gramy w komputer z Martyn€É :),pl,pl,,2013-04-24T18:00:29Z,2018-11-14T22:18:33Z,TRUE,FALSE
31241633024,,4,786,30,0,2018-11-14T21:33:50Z,inteur,inteur,Creative,27828,624,[FR] On fait de trucs,fr,fr,,2013-04-10T00:50:52Z,2018-11-14T22:05:52Z,TRUE,FALSE
31241368896,,4,480,30,0,2018-11-14T21:09:42Z,Claycorp,claycorp,Creative,29451,1246,"Little trees, Perhaps happy. Expect internet drops....",en,en,,2011-01-14T02:37:59Z,2018-11-14T21:33:31Z,TRUE,FALSE
